Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C18, C2, C20, C3, C5, C51, C53, C54, C55, C6, C7",0402,18,0.47uF,
"C101, C114, C116, C117",0402,4,1uF,
"C102, C40",0402,2,<DNP> C,
"C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C119",0402,12,0.1uF,
"C118, C120, C121, C17, C21, C48, C50, C52, C8, C9",0402,10,4.7uF,
"C122, C123, C124, C19, C37, C38, C39, C43, C44, C45",0603,10,10uF,
"C14, C4, C46, C49",0603,4,47uF,
"C41, C42",0402,2,22pF,
C47,1206,1,100uF,
"FB101, FB102, FB103",0603,3,BLM18AG601SN1,
"FL1, FL2, FL3",DLM0NSM900HY2D,3,DLM0NSM900HY2D,C1857796
J1,SFW15R-1STE1LF,1,SFW15R-1STE1LF,
J101,DF40HC4.0-60DS-0.4V51,1,DF40HC(4.0)-60DS-0.4V(51),
J2,DF40C-60DP-0.4V51,1,DF40C-60DP-0.4V(51),
J3,PH_01x02_2.54mm_NoSilk,1,<DNP> PIN1X2,
J4,878325622,1,0878325622,
J5,PH_02x06_2.54mm,1,<DNP> SSQ-106-02-F-D-RA,
"L102, L3, L4",1008,3,2.2uH,
"LED1, LED2",0603,2,150060VS75000,
"R1, R102, R123, R124, R125, R126, R127, R128, R129, R28, R29, R30, R34, R35, R50, R65, R66, R67, R68, R69, R74, R75, R76, R77, R78, R79",0402,26,0,
"R10, R13, R14, R17, R18, R9",0402,6,150_1%,
R101,0402,1,47k,
"R103, R107, R115, R130",0402,4,33,
"R108, R110, R111, R119, R120, R121, R27",0402,7,1k,
"R109, R113, R114, R116, R117, R118, R131, R132, R47, R48",0402,10,<DNP> R,
"R11, R12, R15, R16, R19, R8",0402,6,60.4_1%,
R112,0402,1,470,
"R122, R63, R64",0402,3,10k,
"R2, R3, R4, R5, R6, R7",0402,6,120_1%,
"R20, R21, R23, R24, R36, R37, R49",0402,7,100,
R22,0402,1,49.9,
"R25, R26, R31, R32",0402,4,4.7k,
R33,0402,1,330,
"R38, R39, R40, R41, R42, R43, R44, R45, R46",0402,9,100_1%,
R70,0402,1,91k_1%,
R71,0402,1,120k_1%,
R72,0402,1,300k_1%,
R73,0402,1,150k_1%,
"TP103, TP104, TP105, TP106, TP107, TP108, TP109",TestPin,7,~,
U1,FTGB196,1,XC7S6-2FTGB196C,
U101,NOIP1SN1300A,1,NOIP1SN0300A-QTI,
"U102, U104",SOT-23-5,2,TPS7A2033PDBVR,
U103,SOT-23-6,1,TPS22918DBVR,
U105,SOT-23-3,1,APX803S,
U106,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS610995DRVR,
U2,IS25LP016D-JULE-TR,1,IS25LP016D-JULE-TR,
"U6, U7",Diodes_UDFN2020-6_Type-J,2,AP3401DNTR-G1,
U8,SOT-23-6,1,TPS22918DBV,
X1,SG-210STF,1,SG-210STF 50.0000ML5,
X101,Oscillator_SMD_SiTime_PQFD-6L_3.2x2.5mm,1,<DNP> DSC1103DI5-360.0000,
X2,SG-210STF,1,SG-210STF 72.0000ML0,
