Reference,Value,Datasheet,Footprint,Qty,DNP
"C101,C114,C116,C117",1uF,~,Capacitor_SMD:C_0402_1005Metric,4,
C102,<DNP> C,~,Capacitor_SMD:C_0402_1005Metric,1,
"C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C119",0.1uF,~,Capacitor_SMD:C_0402_1005Metric,12,
"C118,C120,C121",4.7uF,~,Capacitor_SMD:C_0402_1005Metric,3,
"C122,C123,C124",10uF,~,Capacitor_SMD:C_0402_1005Metric,3,
"FB101,FB102,FB103",BLM18AG601SN1,~,Inductor_SMD:L_0603_1608Metric,3,
J101,DF40HC(4.0)-60DS-0.4V(51),~,sensor_python300:DF40HC4.0-60DS-0.4V51,1,
L102,2.2uH,~,Inductor_SMD:L_1008_2520Metric,1,
R101,47k,~,Resistor_SMD:R_0402_1005Metric,1,
"R102,R123,R124,R125,R126,R127,R128,R129",0,~,Resistor_SMD:R_0402_1005Metric,8,
"R103,R107,R115,R130",33,~,Resistor_SMD:R_0402_1005Metric,4,
"R108,R110,R111,R119,R120,R121",1k,~,Resistor_SMD:R_0402_1005Metric,6,
"R109,R113,R114,R116,R117,R118,R131,R132",<DNP> R,~,Resistor_SMD:R_0402_1005Metric,8,
R112,470,~,Resistor_SMD:R_0402_1005Metric,1,
R122,10k,~,Resistor_SMD:R_0402_1005Metric,1,
"TP103,TP104,TP105,TP106,TP107,TP108,TP109",~,,sensor_python300:TestPin,7,
U101,NOIP1SN0300A-QTI,,sensor_python300:NOIP1SN1300A,1,
"U102,U104",TPS7A2033PDBVR,,Package_TO_SOT_SMD:SOT-23-5,2,
U103,TPS22918DBVR,http://www.ti.com/lit/ds/symlink/tps22917.pdf,Package_TO_SOT_SMD:SOT-23-6,1,
U105,APX803S,,Package_TO_SOT_SMD:SOT-23-3,1,
U106,TPS610995DRVR,https://www.ti.com/lit/gpn/TPS61099,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,
X101,<DNP> DSC1103DI5-360.0000,https://www.sitime.com/datasheet/SiT9366,Oscillator:Oscillator_SMD_SiTime_PQFD-6L_3.2x2.5mm,1,
